#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5

Hé Chen.	Chen ziet Louise in de trein.	Привет, Чен.	Чен встречает Луизу в поезде.	link::thema4::taak2::zinnen
Hoi Louise. Hoe gaat het?	Hé Chen.	Привет, Луиза. Как дела?	Привет, Чен.	link::thema4::taak2::zinnen
Goed, en met jou?	Hoe gaat het?	Хорошо, а у тебя?	Как дела?	link::thema4::taak2::zinnen
Eet smakelijk. Wat eet je?	Ze gaan naar de Nederlandse les. Chen eet in de trein.	Приятного аппетита. Что ты ешь?	Они едут на урок нидерландского. Чен ест в поезде.	link::thema4::taak2::zinnen
Ik eet mijn ontbijt.	Eet smakelijk. Wat eet je?	Я ем свой завтрак.	Приятного аппетита. Что ты ешь?	link::thema4::taak2::zinnen
Eet je rijst?	Ik eet mijn ontbijt.	Ты ешь рис?	Я ем свой завтрак.	link::thema4::taak2::zinnen
Hm, ja. Lekker hoor.	Eet je rijst?	Ну да. Вкусно.	Ты ешь рис?	link::thema4::taak2::zinnen
Ik eet 's ochtends nooit rijst. Dat vind ik niet lekker.	Hm, ja. Lekker hoor.	Я никогда не ем рис утром. Мне не нравится.	Ну да. Вкусно.	link::thema4::taak2::zinnen
O, ik wel, met ei en met groente.	Ik eet 's ochtends nooit rijst.	А я ем — с яйцом и с овощами.	Я никогда не ем рис утром.	link::thema4::taak2::zinnen
Echt waar?	O, ik wel, met ei en met groente.	Правда?	А я ем — с яйцом и с овощами.	link::thema4::taak2::zinnen
Ja, altijd. Wat eet jij dan bij het ontbijt?	Echt waar?	Да, всегда. А что ты тогда ешь на завтрак?	Правда?	link::thema4::taak2::zinnen
Ik eet 's ochtends alleen zoete dingen, geen zoute dingen.	Wat eet jij dan bij het ontbijt?	Я утром ем только сладкое, не солёное.	А что ты тогда ешь на завтрак?	link::thema4::taak2::zinnen
Ik eet doordeweeks meestal yoghurt of havermout met fruit.	Wat eet jij dan bij het ontbijt?	В будни я обычно ем йогурт или овсянку с фруктами.	А что ты тогда ешь на завтрак?	link::thema4::taak2::zinnen
In het weekend vaak brood met jam. Ik drink koffie of sinaasappelsap.	Ik eet doordeweeks meestal yoghurt of havermout.	В выходные часто хлеб с джемом. Я пью кофе или апельсиновый сок.	В будни я обычно ем йогурт или овсянку.	link::thema4::taak2::zinnen
En wat eet je bij het avondeten?	Ik drink koffie of sinaasappelsap.	А что ты ешь на ужин?	Я пью кофе или апельсиновый сок.	link::thema4::taak2::zinnen
Van alles. Meestal pasta. Ik ben gek op pasta. En jij?	En wat eet je bij het avondeten?	Всё подряд. Обычно пасту. Я без ума от пасты. А ты?	А что ты ешь на ужин?	link::thema4::taak2::zinnen
Ik eet 's avonds meestal noedels, maar ik vind alles lekker.	Ik ben gek op pasta. En jij?	Я обычно ем лапшу на ужин, но мне всё нравится.	Я без ума от пасты. А ты?	link::thema4::taak2::zinnen
Ik ook, maar ik hou niet van vlees. Ik ben vegetariër.	Ik vind alles lekker.	Я тоже, но я не люблю мясо. Я вегетарианка.	Мне всё нравится.	link::thema4::taak2::zinnen
Ik eet soms wel vis.	Ik ben vegetariër.	Иногда я всё же ем рыбу.	Я вегетарианка.	link::thema4::taak2::zinnen
O, ik vind vlees heel lekker!	Ik hou niet van vlees. Ik ben vegetariër.	А я считаю мясо очень вкусным!	Я не люблю мясо. Я вегетарианка.	link::thema4::taak2::zinnen
En wat eet je tussen de middag?	Ik vind vlees heel lekker!	А что ты ешь в обед?	Я считаю мясо очень вкусным!	link::thema4::taak2::zinnen
Ik eet bij de lunch meestal soep met een salade.	Wat eet je tussen de middag?	На обед я обычно ем суп с салатом.	Что ты ешь в обед?	link::thema4::taak2::zinnen
Ik wil 's middags altijd iets warms eten, niet alleen koude dingen.	Ik eet bij de lunch meestal soep met een salade.	Я хочу днём всегда есть что-то горячее, не только холодное.	На обед я обычно ем суп с салатом.	link::thema4::taak2::zinnen
Nederlanders eten 's middags vaak alleen boterhammen. Dat vind ik zo gek.	Ik wil 's middags niet alleen koude dingen eten.	Нидерландцы на обед часто едят только бутерброды. Мне это кажется таким странным.	Я не хочу днём есть только холодное.	link::thema4::taak2::zinnen
Ik eet 's middags altijd warm.	Dat vind ik zo gek.	Я всегда ем горячее на обед.	Мне это кажется таким странным.	link::thema4::taak2::zinnen
Ja, en ze eten hier zo snel. Ik lunch altijd een uur.	Ik eet 's middags altijd warm.	Да, и тут едят так быстро. Я всегда обедаю час.	Я всегда ем горячее на обед.	link::thema4::taak2::zinnen
Gaan we vanmiddag samen lunchen?	Ik lunch altijd een uur.	Пойдём сегодня днём вместе обедать?	Я всегда обедаю час.	link::thema4::taak2::zinnen
Ja, dat lijkt me gezellig.	Gaan we vanmiddag samen lunchen?	Да, было бы здорово.	Пойдём сегодня днём вместе обедать?	link::thema4::taak2::zinnen
