#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5
opnemen (contact opnemen met)	Ik moet contact opnemen met de makelaar over de huur.	связаться (contact opnemen met — связаться с)	Мне нужно связаться с маклером по поводу аренды.	opmaat::thema9::woordenlijst::A2
de opticien	De opticien in onze buurt maakt ook sportbrillen.	оптик	Оптик в нашем районе делает и спортивные очки.	opmaat::thema9::woordenlijst::A2
de organisatie	De organisatie van het concert was heel professioneel.	организация	Организация концерта была очень профессиональной.	opmaat::thema9::woordenlijst::A2
overtuigend	Haar ervaring en diploma waren heel overtuigend tijdens het gesprek.	убедительный	Её опыт и диплом были очень убедительными на собеседовании.	opmaat::thema9::woordenlijst::A2
pakken (erbij pakken)	Wacht, ik pak er even mijn agenda bij om te reserveren.	взять, достать (erbij pakken — достать, посмотреть)	Подожди, я достану свой ежедневник, чтобы забронировать.	opmaat::thema9::woordenlijst::A2
het pakket	Er ligt een groot pakket voor je bij de balie.	пакет, посылка	На стойке лежит большая посылка для тебя.	opmaat::thema9::woordenlijst::A2
parttime	Ze werkt parttime bij een bedrijf en studeert 's avonds.	неполный рабочий день	Она работает неполный рабочий день в компании и учится по вечерам.	opmaat::thema9::woordenlijst::A2
de pastoor	De pastoor kent bijna alle buren in de wijk persoonlijk.	пастор (католический)	Пастор лично знает почти всех соседей в районе.	opmaat::thema9::woordenlijst::A2
persoonlijk	Ik bespreek liever persoonlijk dan via de voicemail.	личный, лично	Я предпочитаю обсуждать лично, а не через голосовую почту.	opmaat::thema9::woordenlijst::A2
de piloot	De piloot heeft veel ervaring en vliegt al twintig jaar.	пилот	У пилота большой опыт, он летает уже двадцать лет.	opmaat::thema9::woordenlijst::A2
de politicus	De politicus belooft meer woningen te bouwen in onze wijk.	политик	Политик обещает построить больше жилья в нашем районе.	opmaat::thema9::woordenlijst::A2
de politieagent	De politieagent staat elke werkdag bij de school op de hoek.	полицейский	Полицейский каждый рабочий день стоит у школы на углу.	opmaat::thema9::woordenlijst::A2
