#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5
aan	Ik ben de hele dag aan het werk geweest.	предлог: на, к (указывает на действие/направление)	Я весь день работал.	opmaat::thema9::woordenlijst::A2
aanleggen	De gemeente gaat een nieuw fietspad aanleggen.	прокладывать, устраивать	Муниципалитет собирается проложить новую велодорожку.	opmaat::thema9::woordenlijst::A2
aanwezig	Niet alle studenten waren aanwezig bij het college.	присутствующий	Не все студенты присутствовали на лекции.	opmaat::thema9::woordenlijst::A2
de aardrijkskunde	Op de basisschool had ik aardrijkskunde en biologie.	география	В начальной школе у меня были география и биология.	opmaat::thema9::woordenlijst::A2
de accountant	Onze accountant regelt de belastingaangifte voor het bedrijf.	бухгалтер	Наш бухгалтер оформляет налоговую декларацию для компании.	opmaat::thema9::woordenlijst::A2
de administratie	De administratie van de school is op de begane grond.	администрация	Администрация школы на первом этаже.	opmaat::thema9::woordenlijst::A2
administratief	Ze zoekt een administratieve baan op kantoor.	административный	Она ищет административную работу в офисе.	opmaat::thema9::woordenlijst::A2
de advertentie	Ik heb een interessante advertentie voor een bijbaan gezien.	объявление, реклама	Я увидел интересное объявление о подработке.	opmaat::thema9::woordenlijst::A2
het advies	De makelaar gaf ons een goed advies over de woning.	совет	Маклер дал нам хороший совет по поводу жилья.	opmaat::thema9::woordenlijst::A2
de advocaat	De advocaat bespreekt de zaak met zijn collega.	адвокат	Адвокат обсуждает дело со своим коллегой.	opmaat::thema9::woordenlijst::A2
de afdeling	Op welke afdeling van het ziekenhuis werk je?	отдел, отделение	В каком отделении больницы ты работаешь?	opmaat::thema9::woordenlijst::A2
de affiniteit	Zij heeft veel affiniteit met creatief werk.	склонность, близость	У неё большая склонность к творческой работе.	opmaat::thema9::woordenlijst::A2
afsluiten	We moeten het project voor vrijdag afsluiten.	завершить, закрыть	Мы должны завершить проект к пятнице.	opmaat::thema9::woordenlijst::A2
de agent	De agent staat op de hoek van de straat in onze wijk.	полицейский	Полицейский стоит на углу улицы в нашем районе.	opmaat::thema9::woordenlijst::A2
de ambtenaar	Mijn buurman werkt als ambtenaar bij de gemeente.	чиновник, госслужащий	Мой сосед работает чиновником в муниципалитете.	opmaat::thema9::woordenlijst::A2
de architect	De architect heeft een mooi ontwerp gemaakt voor ons huis.	архитектор	Архитектор сделал красивый проект нашего дома.	opmaat::thema9::woordenlijst::A2
de arts	De arts zegt dat ik regelmatig moet sporten.	врач	Врач говорит, что мне нужно регулярно заниматься спортом.	opmaat::thema9::woordenlijst::A2
de assistent in opleiding	Als assistent in opleiding leer je veel op de werkvloer.	стажёр	Как стажёр ты многому учишься на рабочем месте.	opmaat::thema9::woordenlijst::A2
de avondgroep	De avondgroep begint om zeven uur na mijn werkdag.	вечерняя группа	Вечерняя группа начинается в семь часов после моего рабочего дня.	opmaat::thema9::woordenlijst::A2
