#separator:tab
#html:true
#notetype:Frequentie NL
#deck:Frequentie::Kern
#columns:Word	Rank	Example	Translation	TranslationExample	Audio	Tags
#tags column:7
het lichaam	375	Sport is goed voor je lichaam.	тело	Спорт полезен для тела.	[sound:freq_lichaam.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de stem	427	Ik hoor je stem niet goed.	голос	Я плохо слышу твой голос.	[sound:freq_stem.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
het aantal	370	Het aantal fouten is klein.	количество	Количество ошибок невелико.	[sound:freq_aantal.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
het geval	413	In dat geval bel ik je morgen.	случай	В таком случае я позвоню тебе завтра.	[sound:freq_geval.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de vorm	475	De tafel heeft een ronde vorm.	форма	У стола круглая форма.	[sound:freq_vorm.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
het gebied	440	Hij werkt op dit gebied.	область, сфера	Он работает в этой области.	[sound:freq_gebied.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
het beeld	504	Het beeld op mijn scherm is scherp.	изображение, образ	Изображение на моём экране чёткое.	[sound:freq_beeld.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de dienst	494	Ik heb morgen dienst.	служба, смена	У меня завтра смена.	[sound:freq_dienst.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
het feit	496	Dat is een bekend feit.	факт	Это известный факт.	[sound:freq_feit.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de rust	463	Na het werk zoek ik rust.	покой, отдых	После работы я ищу покоя.	[sound:freq_rust.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de lucht	610	De lucht is vandaag blauw.	воздух; небо	Небо сегодня синее.	[sound:freq_lucht.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de aarde	620	De aarde draait om de zon.	земля	Земля вращается вокруг Солнца.	[sound:freq_aarde.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de actie	623	Deze actie duurt een week.	акция, действие	Эта акция длится неделю.	[sound:freq_actie.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de macht	728	Hij heeft veel macht.	власть	У него много власти.	[sound:freq_macht.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
het verleden	765	In het verleden was dat anders.	прошлое	В прошлом это было иначе.	[sound:freq_verleden.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de regering	778	De regering neemt een besluit.	правительство	Правительство принимает решение.	[sound:freq_regering.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de wet	561	De wet geldt voor iedereen.	закон	Закон действует для всех.	[sound:freq_wet.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
de politiek	572	Zij praat graag over politiek.	политика	Она любит говорить о политике.	[sound:freq_politiek.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
duizend	768	Het kost duizend euro.	тысяча	Это стоит тысячу евро.	[sound:freq_duizend.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
vanuit	478	Ik werk vanuit huis.	из, изнутри	Я работаю из дома.	[sound:freq_vanuit.mp3]	frequentie::kern::partij02 frequentie::kern::dag01
gebruiken	252	Gebruik je deze app elke dag?	использовать	Ты пользуешься этим приложением каждый день?	[sound:freq_gebruiken.mp3]	frequentie::kern::partij02 frequentie::kern::dag02
bestaan	301	Dat probleem bestaat niet meer.	существовать	Этой проблемы больше нет.	[sound:freq_bestaan.mp3]	frequentie::kern::partij02 frequentie::kern::dag02
leiden	344	Leid je dit project?	вести, руководить	Ты ведёшь этот проект?	[sound:freq_leiden.mp3]	frequentie::kern::partij02 frequentie::kern::dag02
winnen	271	Win je vaak?	выигрывать	Ты часто выигрываешь?	[sound:freq_winnen.mp3]	frequentie::kern::partij02 frequentie::kern::dag02
