#separator:tab
#html:true
#columns:Word	Example	Translation	TranslationExample	Tags
#tags column:5
positief	Probeer positief te blijven.	позитивный, положительный	Постарайся оставаться позитивным.	opmaat::thema8::pagina24::A2
het postuur	Hij heeft een stevig postuur.	телосложение	У него крепкое телосложение.	opmaat::thema8::pagina24::A2
redden	De brandweer heeft het kind gered.	спасать	Пожарные спасли ребёнка.	opmaat::thema8::pagina24::A2
redelijk	Het weer is redelijk goed vandaag.	довольно, разумный	Погода сегодня довольно хорошая.	opmaat::thema8::pagina24::A2
regenen	Het regent vaak in Nederland.	идти (о дожде)	В Нидерландах часто идёт дождь.	opmaat::thema8::pagina24::A2
de relatie	Ze hebben een goede relatie.	отношения	У них хорошие отношения.	opmaat::thema8::pagina24::A2
relaxen	In het weekend wil ik relaxen.	расслабляться, отдыхать	В выходные я хочу расслабиться.	opmaat::thema8::pagina24::A2
de rij	Er staat een lange rij voor de kassa.	очередь, ряд	Перед кассой стоит длинная очередь.	opmaat::thema8::pagina24::A2
het rijbewijs	Ik heb mijn rijbewijs vorig jaar gehaald.	водительские права	Я получил водительские права в прошлом году.	opmaat::thema8::pagina24::A2
rijp	De appels zijn nog niet rijp.	зрелый, спелый	Яблоки ещё не спелые.	opmaat::thema8::pagina24::A2
het risico	Er is een groot risico op overstroming.	риск	Есть большой риск наводнения.	opmaat::thema8::pagina24::A2
romantisch	Hij heeft een romantisch diner georganiseerd.	романтичный	Он организовал романтический ужин.	opmaat::thema8::pagina24::A2
rood	Ze heeft rood haar en blauwe ogen.	красный, рыжий	У неё рыжие волосы и голубые глаза.	opmaat::thema8::pagina24::A2
rustig	Het is heel rustig in dit dorp.	спокойный, тихий	В этой деревне очень тихо.	opmaat::thema8::pagina24::A2
saai	De film was heel saai.	скучный	Фильм был очень скучным.	opmaat::thema8::pagina24::A2
schamen (zich)	Ik schaam me voor mijn fout.	стыдиться	Мне стыдно за свою ошибку.	opmaat::thema8::pagina24::A2
de schat	Jij bent een schat!	сокровище, дорогой (обращение)	Ты сокровище!	opmaat::thema8::pagina24::A2
de scheiding	De scheiding was moeilijk voor de kinderen.	развод, разделение	Развод был трудным для детей.	opmaat::thema8::pagina24::A2
scheren (zich)	Hij scheert zich elke ochtend.	бриться	Он бреется каждое утро.	opmaat::thema8::pagina24::A2
serieus	Ze is heel serieus over haar studie.	серьёзный	Она очень серьёзно относится к учёбе.	opmaat::thema8::pagina24::A2
simpel	De oplossing is heel simpel.	простой	Решение очень простое.	opmaat::thema8::pagina24::A2
slank	Ze is slank en sportief.	стройный	Она стройная и спортивная.	opmaat::thema8::pagina24::A2
slordig	Zijn handschrift is heel slordig.	неряшливый, небрежный	Его почерк очень неряшливый.	opmaat::thema8::pagina24::A2
sluiten	De winkel sluit om zes uur.	закрывать	Магазин закрывается в шесть часов.	opmaat::thema8::pagina24::A2
smal	De straat is heel smal.	узкий	Улица очень узкая.	opmaat::thema8::pagina24::A2
snappen	Snap je wat ik bedoel?	понимать (разг.)	Ты понимаешь, что я имею в виду?	opmaat::thema8::pagina24::A2
